包头,x,y,z,状态,休息,采食,活动,爬跨,反刍,其他,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-28,176,-297,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-20,172,-288,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-21,166,-295,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-25,159,-301,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-23,159,-312,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-17,167,-324,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-21,182,-328,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-21,195,-335,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-21,199,-336,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-29,195,-328,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-37,185,-324,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-37,174,-324,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-29,167,-317,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-31,159,-305,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-24,153,-295,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-24,160,-292,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-20,176,-296,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-20,195,-305,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-16,198,-319,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,-5,199,-330,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
0,0,193,-345,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-2,184,-336,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-13,174,-336,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-23,172,-321,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-25,172,-308,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-26,176,-313,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-26,187,-319,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-32,201,-312,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-29,192,-313,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-20,188,-333,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-15,184,-333,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-13,177,-329,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-9,166,-317,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-13,159,-316,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-17,163,-316,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-24,176,-313,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-16,179,-317,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-4,177,-316,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-7,175,-306,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-20,172,-308,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-31,160,-313,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-40,161,-308,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-42,159,-304,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-39,153,-305,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,-20,163,-322,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,0,174,-327,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,9,177,-324,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,11,179,-333,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,3,167,-333,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-9,156,-335,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-24,156,-335,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-29,158,-328,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-32,167,-328,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-29,167,-324,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-28,172,-322,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,1,176,-325,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,19,176,-332,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,15,169,-336,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,7,160,-336,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-12,161,-329,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-25,174,-320,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-29,183,-313,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-32,183,-305,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-29,177,-303,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-23,167,-296,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-23,163,-305,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-20,159,-321,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-16,159,-328,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-1,156,-329,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,4,158,-327,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-1,166,-324,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-7,177,-322,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-16,180,-320,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-18,176,-308,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-18,172,-311,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-21,164,-313,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-18,166,-301,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-20,163,-308,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-29,159,-311,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-32,167,-311,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-21,176,-313,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-13,187,-328,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-4,184,-333,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,0,176,-340,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-4,166,-340,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-24,156,-333,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-39,151,-328,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-41,152,-317,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-34,159,-313,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-32,166,-306,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-32,166,-298,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-26,169,-304,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-24,174,-312,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-18,174,-317,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-20,163,-329,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-16,160,-336,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-17,164,-345,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-25,163,-353,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-33,168,-348,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-40,175,-345,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-48,176,-336,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-47,167,-329,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,-47,156,-328,250,0,0,2,0,123,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-57,121,-296,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-52,121,-292,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-47,142,-296,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-40,167,-298,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-23,182,-308,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-31,199,-314,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,-40,183,-305,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-45,172,-297,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-42,167,-304,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-29,167,-301,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-16,176,-281,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-9,185,-285,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,-16,204,-303,250,0,0,2,0,129,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
